path,line,function,async,executable_body_lines,executed_body_lines,execution_evidence
networkly_web/accounts/access.py,7,beta_enabled,False,1,1,All body lines exercised
networkly_web/accounts/access.py,11,effective_plan,False,4,4,All body lines exercised
networkly_web/accounts/access.py,18,has_individual_features,False,1,1,All body lines exercised
networkly_web/accounts/access.py,22,sync_user_filter,False,2,2,All body lines exercised
networkly_web/accounts/access.py,28,plan_label,False,1,1,All body lines exercised
networkly_web/accounts/adapter.py,37,NetworklyAccountAdapter.is_open_for_signup,False,1,1,All body lines exercised
networkly_web/accounts/adapter.py,42,NetworklyAccountAdapter.save_user,False,3,2,Some body lines exercised
networkly_web/accounts/adapter.py,47,NetworklyAccountAdapter.render_mail,False,6,6,All body lines exercised
networkly_web/accounts/adapter.py,56,NetworklyAccountAdapter.add_message,False,3,3,All body lines exercised
networkly_web/accounts/adapter.py,67,_deny_signup,False,3,3,All body lines exercised
networkly_web/accounts/adapter.py,74,_verified_google_email,False,10,9,Some body lines exercised
networkly_web/accounts/adapter.py,92,NetworklySocialAccountAdapter._admission_email,False,7,7,All body lines exercised
networkly_web/accounts/adapter.py,101,NetworklySocialAccountAdapter.pre_social_login,False,6,5,Some body lines exercised
networkly_web/accounts/adapter.py,111,NetworklySocialAccountAdapter.is_open_for_signup,False,4,3,Some body lines exercised
networkly_web/accounts/adapter.py,117,NetworklySocialAccountAdapter.save_user,False,8,6,Some body lines exercised
networkly_web/accounts/adapter.py,122,NetworklySocialAccountAdapter.save_user.create_user,False,8,7,Some body lines exercised
networkly_web/accounts/admin.py,124,BetaInvitationForm.clean_email,False,3,3,All body lines exercised
networkly_web/accounts/admin.py,137,BetaInvitationAdmin.has_delete_permission,False,1,1,All body lines exercised
networkly_web/accounts/admin.py,140,BetaInvitationAdmin.has_change_permission,False,1,1,All body lines exercised
networkly_web/accounts/admin.py,143,BetaInvitationAdmin.get_fields,False,1,1,All body lines exercised
networkly_web/accounts/admin.py,146,BetaInvitationAdmin.get_readonly_fields,False,1,1,All body lines exercised
networkly_web/accounts/admin.py,149,BetaInvitationAdmin.changeform_view,False,4,3,Some body lines exercised
networkly_web/accounts/admin.py,156,BetaInvitationAdmin.save_model,False,2,2,All body lines exercised
networkly_web/accounts/apps.py,8,AccountsConfig.ready,False,1,1,All body lines exercised
networkly_web/accounts/beta.py,34,normalize_email,False,3,3,All body lines exercised
networkly_web/accounts/beta.py,40,email_fingerprint,False,1,1,All body lines exercised
networkly_web/accounts/beta.py,44,beta_limit,False,1,1,All body lines exercised
networkly_web/accounts/beta.py,49,registry_lock,False,6,5,Some body lines exercised
networkly_web/accounts/beta.py,58,_existing_users,False,1,1,All body lines exercised
networkly_web/accounts/beta.py,62,capacity_status,False,4,4,All body lines exercised
networkly_web/accounts/beta.py,70,_snapshot_existing_users,False,7,4,Some body lines exercised
networkly_web/accounts/beta.py,85,validate_invitation,False,9,8,Some body lines exercised
networkly_web/accounts/beta.py,99,invite_emails,False,12,12,All body lines exercised
networkly_web/accounts/beta.py,115,check_admission,False,14,14,All body lines exercised
networkly_web/accounts/beta.py,135,claim_invitation,False,11,10,Some body lines exercised
networkly_web/accounts/beta.py,150,anonymize_user_seats,False,7,7,All body lines exercised
networkly_web/accounts/forms.py,147,affiliation_is_long,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,152,affiliation_lines,False,6,6,All body lines exercised
networkly_web/accounts/forms.py,189,_stale_cycle_label,False,4,4,All body lines exercised
networkly_web/accounts/forms.py,239,known_timezones,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,254,timezone_choices,False,2,2,All body lines exercised
networkly_web/accounts/forms.py,394,ProfileForm.__init__,False,14,14,All body lines exercised
networkly_web/accounts/forms.py,448,ProfileForm.clean_avatar,False,22,17,Some body lines exercised
networkly_web/accounts/forms.py,517,ProfileForm.from_user,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,553,ProfileForm.clean_school_emails,False,21,19,Some body lines exercised
networkly_web/accounts/forms.py,611,ProfileForm.affiliation_word_max,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,617,ProfileForm.affiliation_long_note,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,621,ProfileForm.shape_report,False,5,5,All body lines exercised
networkly_web/accounts/forms.py,642,ProfileForm.saved_long_ties,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,660,ProfileForm.saved_shape_token,False,4,4,All body lines exercised
networkly_web/accounts/forms.py,672,ProfileForm.clean_affiliations,False,12,12,All body lines exercised
networkly_web/accounts/forms.py,701,ProfileForm.clean_timezone,False,6,5,Some body lines exercised
networkly_web/accounts/forms.py,714,ProfileForm.apply_to,False,28,28,All body lines exercised
networkly_web/accounts/forms.py,761,ProfileForm.apply_to.remove_unreferenced_avatar,False,2,2,All body lines exercised
networkly_web/accounts/forms.py,797,SectionForm.from_user,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,802,SectionForm.initial_for,False,1,0,Body not exercised
networkly_web/accounts/forms.py,805,SectionForm.apply_to,False,1,0,Body not exercised
networkly_web/accounts/forms.py,826,WorkAuthorizationForm.__init__,False,4,4,All body lines exercised
networkly_web/accounts/forms.py,853,WorkAuthorizationForm.initial_for,False,2,2,All body lines exercised
networkly_web/accounts/forms.py,861,WorkAuthorizationForm.rows,False,1,1,All body lines exercised
networkly_web/accounts/forms.py,865,WorkAuthorizationForm.apply_to,False,8,8,All body lines exercised
networkly_web/accounts/forms.py,967,DefaultingRadioSelect.__init__,False,2,2,All body lines exercised
networkly_web/accounts/forms.py,971,DefaultingRadioSelect.format_value,False,3,3,All body lines exercised
networkly_web/accounts/forms.py,976,DefaultingRadioSelect.create_option,False,4,4,All body lines exercised
networkly_web/accounts/forms.py,1036,CadenceForm.__init__,False,10,10,All body lines exercised
networkly_web/accounts/forms.py,1092,CadenceForm.initial_for,False,11,11,All body lines exercised
